Year,age_group,Rate
2019,35–39,18.3
2019,40–44,19.6
2019,45–49,19.7
2019,50–54,17.8
2019,55–59,17.5
2019,60–64,15.3
2019,65–69,10.7
2019,70–74,11.0
2019,75–79,12.9
2019,80–84,13.1
2019,85+,17.8
2020,15–19,11.7
2020,20–24,16.3
2020,25–29,15.5
2020,30–34,15.5
2020,35–39,15.4
2020,40–44,17.4
2020,45–49,17.5
2020,50–54,16.7
2020,55–59,14.2
2020,60–64,14.7
2020,65–69,10.8
2020,70–74,10.9
2020,75–79,12.3
2020,80–84,13.4
2020,85+,17.8
